ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"Mme NAZZAL Bouchra","Mme DUCAMP Anne    ","M. BELLIARD David    ","Mme CAR Pépita","Mme RANNER-LUXIN Lise-Marie    ","Mme GARNIER Nelly    ","M. D'ETIGNY François","M. LEFORT Jacques    ","M. VAUGLIN François    ","M. ALLMANG Cédrick","M. POITOUX Guillaume    "
11-34,Municipales,2020,1,2020/03/15,6,99,11,34,21,1729,658,662,2,8,652,40,5,127,38,4,67,11,16,267,6,71
11-35,Municipales,2020,1,2020/03/15,6,42,11,35,43,1682,748,748,2,6,740,42,1,87,32,2,99,5,17,322,7,126
11-36,Municipales,2020,1,2020/03/15,6,42,11,36,32,1706,761,760,5,7,748,40,5,112,38,5,90,6,23,339,1,89
11-37,Municipales,2020,1,2020/03/15,6,42,11,37,48,1625,726,726,5,6,715,38,1,79,31,0,118,4,22,305,11,106
11-38,Municipales,2020,1,2020/03/15,6,42,11,38,24,1696,760,760,3,11,746,49,2,98,44,2,109,6,17,310,6,103
11-39,Municipales,2020,1,2020/03/15,6,43,11,39,24,1428,646,646,5,10,631,32,7,117,28,4,81,8,32,243,3,76
11-40,Municipales,2020,1,2020/03/15,6,99,11,40,18,1498,660,660,3,11,646,38,7,83,20,4,83,4,32,277,6,92
11-41,Municipales,2020,1,2020/03/15,6,43,11,41,18,1739,694,694,4,4,686,32,2,112,42,7,101,7,25,264,3,91
11-42,Municipales,2020,1,2020/03/15,6,43,11,42,19,1545,582,582,10,6,566,26,8,86,30,3,91,5,22,227,2,66
11-43,Municipales,2020,1,2020/03/15,6,43,11,43,30,1748,816,816,7,6,803,42,8,143,54,8,78,4,26,351,7,82
11-44,Municipales,2020,1,2020/03/15,6,44,11,44,26,1718,749,749,4,10,735,43,4,77,32,2,95,4,20,331,6,121
11-45,Municipales,2020,1,2020/03/15,6,99,11,45,15,1575,697,697,1,10,686,35,5,84,30,3,129,6,24,252,10,108
11-46,Municipales,2020,1,2020/03/15,6,99,11,46,16,1811,657,658,6,10,642,29,11,67,56,5,124,4,24,242,4,76
11-47,Municipales,2020,1,2020/03/15,6,44,11,47,30,1783,796,796,6,13,777,42,9,99,57,4,118,6,29,324,5,84
11-48,Municipales,2020,1,2020/03/15,6,44,11,48,33,1739,849,849,6,4,839,59,9,107,43,4,146,3,33,291,2,142
11-49,Municipales,2020,1,2020/03/15,6,44,11,49,35,1762,816,817,9,6,802,48,9,107,41,1,130,6,41,317,3,99
11-50,Municipales,2020,1,2020/03/15,6,44,11,50,43,1709,824,824,6,6,812,57,5,100,27,1,122,4,32,372,4,88
11-51,Municipales,2020,1,2020/03/15,6,44,11,51,33,1699,758,759,4,11,744,45,1,102,34,1,122,1,23,310,6,99
11-52,Municipales,2020,1,2020/03/15,6,44,11,52,30,1756,784,781,6,7,768,56,8,102,41,5,84,3,11,346,8,104
11-53,Municipales,2020,1,2020/03/15,6,44,11,53,42,1702,835,835,4,16,815,40,4,78,42,0,122,4,28,367,6,124
11-54,Municipales,2020,1,2020/03/15,6,44,11,54,20,1625,656,656,3,6,647,45,4,72,27,1,100,4,40,263,10,81
11-55,Municipales,2020,1,2020/03/15,6,44,11,55,27,1681,758,758,9,11,738,46,7,92,24,3,86,3,20,362,5,90
