ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. GOUJON Philippe    ","Mme IBLED Catherine    ","Mme ROETHLISBERGER Corinne    ","Mme NIAKATÉ Aminata    ","M. VIALE Frédéric    ","M. GUIBERT Géraud","Mme EVREN Agnès","M. DE SAINT JUST Wallerand","Mme TORANIAN Anouch"
15-42,Municipales,2020,1,2020/03/15,1900/01/13,57,15,42,16,1085,434,434,3,9,422,105,69,4,24,13,20,108,10,69
15-43,Municipales,2020,1,2020/03/15,1900/01/13,57,15,43,25,1326,617,617,1,9,607,131,120,4,42,17,49,136,13,95
15-44,Municipales,2020,1,2020/03/15,1900/01/13,57,15,44,10,1557,678,678,8,14,656,125,106,2,63,20,45,117,15,163
15-45,Municipales,2020,1,2020/03/15,1900/01/13,57,15,45,24,1574,669,669,6,6,657,153,86,5,53,25,60,118,18,139
15-46,Municipales,2020,1,2020/03/15,1900/01/13,57,15,46,26,1470,667,667,5,10,652,133,108,2,56,12,53,138,12,138
15-47,Municipales,2020,1,2020/03/15,1900/01/13,57,15,47,19,1614,717,717,4,12,701,114,112,9,90,25,51,109,16,175
15-48,Municipales,2020,1,2020/03/15,1900/01/13,57,15,48,5,1531,486,486,6,6,474,112,43,6,48,14,24,108,18,101
15-49,Municipales,2020,1,2020/03/15,1900/01/13,57,15,49,19,1590,537,537,5,12,520,143,48,7,49,25,21,85,12,130
15-50,Municipales,2020,1,2020/03/15,1900/01/13,57,15,50,12,1470,565,565,1,4,560,121,71,4,55,19,52,85,12,141
15-51,Municipales,2020,1,2020/03/15,1900/01/13,57,15,51,19,1602,691,691,2,6,683,158,98,2,58,11,60,125,17,154
15-52,Municipales,2020,1,2020/03/15,1900/01/13,57,15,52,19,1526,565,564,6,9,549,126,61,5,43,10,38,123,24,119
15-53,Municipales,2020,1,2020/03/15,1900/01/13,57,15,53,10,1564,622,622,4,13,605,94,80,0,77,15,60,123,18,138
15-54,Municipales,2020,1,2020/03/15,1900/01/13,57,15,54,32,1521,666,666,2,10,654,112,100,1,69,14,56,138,19,145
15-55,Municipales,2020,1,2020/03/15,1900/01/13,57,15,55,56,1504,642,642,2,5,635,111,95,1,69,15,39,127,14,164
15-56,Municipales,2020,1,2020/03/15,1900/01/13,57,15,56,30,1694,786,786,4,16,766,143,121,6,76,21,60,158,16,165
15-57,Municipales,2020,1,2020/03/15,1900/01/13,57,15,57,16,1483,680,680,2,7,671,154,132,2,60,19,38,132,13,121
15-58,Municipales,2020,1,2020/03/15,1900/01/13,57,15,58,23,1493,667,667,4,3,660,138,117,2,50,15,37,114,6,181
15-59,Municipales,2020,1,2020/03/15,1900/01/13,57,15,59,18,1525,619,619,2,5,612,110,111,1,42,12,35,162,16,123
15-60,Municipales,2020,1,2020/03/15,1900/01/13,57,15,60,33,1608,760,760,2,6,752,179,141,1,53,17,40,169,11,141
15-61,Municipales,2020,1,2020/03/15,1900/01/13,57,15,61,23,1499,631,631,0,11,620,129,99,3,40,8,53,118,8,162
15-62,Municipales,2020,1,2020/03/15,1900/01/13,57,15,62,40,1546,700,700,2,8,690,155,106,2,54,11,54,129,17,162
15-63,Municipales,2020,1,2020/03/15,1900/01/13,57,15,63,29,1390,674,674,3,5,666,150,105,1,57,7,47,141,8,150
15-64,Municipales,2020,1,2020/03/15,1900/01/13,57,15,64,26,1405,604,605,6,4,595,182,83,0,46,5,36,142,12,89
15-65,Municipales,2020,1,2020/03/15,1900/01/13,57,15,65,23,1390,626,626,4,8,614,175,93,0,57,18,38,107,16,110
15-66,Municipales,2020,1,2020/03/15,1900/01/13,57,15,66,19,1535,643,643,5,7,631,164,107,2,31,13,34,165,11,104
15-67,Municipales,2020,1,2020/03/15,1900/01/13,57,15,67,26,1597,601,601,2,5,594,117,94,1,57,11,52,120,13,129
15-68,Municipales,2020,1,2020/03/15,1900/01/13,57,15,68,20,1638,757,757,3,10,744,146,130,1,69,14,61,160,10,153
15-69,Municipales,2020,1,2020/03/15,1900/01/13,57,15,69,19,1665,641,641,4,12,625,130,72,1,59,17,48,137,10,151
15-70,Municipales,2020,1,2020/03/15,1900/01/13,57,15,70,29,1671,782,782,2,11,769,176,112,2,72,17,62,136,12,180
15-71,Municipales,2020,1,2020/03/15,1900/01/13,60,15,71,21,1641,701,701,3,6,692,161,101,4,48,15,57,159,7,140
15-72,Municipales,2020,1,2020/03/15,1900/01/13,60,15,72,15,1502,553,553,5,7,541,127,77,2,40,9,47,111,9,119
15-73,Municipales,2020,1,2020/03/15,1900/01/13,60,15,73,21,1385,589,590,1,7,582,113,104,3,45,7,44,141,17,108
15-74,Municipales,2020,1,2020/03/15,1900/01/13,60,15,74,18,1581,650,651,3,6,642,140,98,1,57,11,45,166,7,117
15-75,Municipales,2020,1,2020/03/15,1900/01/13,60,15,75,10,1392,652,652,4,10,638,138,118,2,50,16,37,156,14,107
15-76,Municipales,2020,1,2020/03/15,1900/01/13,60,15,76,6,1185,381,381,6,15,360,66,32,2,37,25,23,51,12,112
15-77,Municipales,2020,1,2020/03/15,1900/01/13,60,15,77,22,1513,629,629,5,13,611,110,88,1,41,13,52,156,10,140
15-78,Municipales,2020,1,2020/03/15,1900/01/13,60,15,78,23,1079,468,468,4,5,459,99,70,4,36,16,17,100,12,105
15-79,Municipales,2020,1,2020/03/15,1900/01/13,60,15,79,25,1252,565,565,2,0,563,104,94,2,46,12,48,127,17,113
15-80,Municipales,2020,1,2020/03/15,1900/01/13,60,15,80,14,1512,653,653,5,7,641,114,99,3,64,17,48,158,18,120
15-81,Municipales,2020,1,2020/03/15,1900/01/13,60,15,81,21,1497,682,684,3,8,673,120,125,3,53,14,55,157,20,126
15-82,Municipales,2020,1,2020/03/15,1900/01/13,60,15,82,13,1480,559,559,4,14,541,90,91,7,43,9,32,136,16,117
15-83,Municipales,2020,1,2020/03/15,1900/01/13,60,15,83,12,1558,728,728,5,11,712,135,138,0,55,4,48,205,8,119
15-84,Municipales,2020,1,2020/03/15,1900/01/13,60,15,84,22,1450,614,614,4,6,604,138,107,3,47,10,54,128,7,110
15-85,Municipales,2020,1,2020/03/15,1900/01/13,60,15,85,29,1652,761,761,1,11,749,145,116,3,64,14,49,146,16,196
15-86,Municipales,2020,1,2020/03/15,1900/01/13,60,15,86,23,1292,558,558,0,11,547,125,74,2,42,11,42,140,14,97
15-87,Municipales,2020,1,2020/03/15,1900/01/13,60,15,87,14,1479,621,621,5,3,613,127,92,3,58,7,54,111,15,146
15-88,Municipales,2020,1,2020/03/15,1900/01/13,60,15,88,30,1508,679,679,2,11,666,166,112,3,36,8,55,151,13,122
15-89,Municipales,2020,1,2020/03/15,1900/01/13,60,15,89,23,1451,647,647,3,9,635,125,115,2,36,5,42,185,11,114
15-90,Municipales,2020,1,2020/03/15,1900/01/13,60,15,90,14,1356,608,608,2,7,599,128,108,0,41,5,45,139,4,129
15-91,Municipales,2020,1,2020/03/15,1900/01/13,60,15,91,25,1568,698,699,3,9,687,169,140,1,66,7,49,140,8,107
15-92,Municipales,2020,1,2020/03/15,1900/01/13,60,15,92,15,1464,651,651,1,11,639,149,80,1,56,16,49,150,11,127
15-93,Municipales,2020,1,2020/03/15,1900/01/13,60,15,93,21,1525,656,656,2,12,642,146,91,6,62,17,42,128,22,128
15-94,Municipales,2020,1,2020/03/15,1900/01/13,60,15,94,18,1535,497,497,5,12,480,117,69,5,35,16,26,89,9,114
15-95,Municipales,2020,1,2020/03/15,1900/01/13,60,15,95,32,1400,544,544,2,5,537,113,88,5,26,16,30,123,22,114
